"Parlamentar","Data Desbloqueio","Ano de Exercicio","Unidade Orcamentaria Cod","Unidade Orcamentaria Desc","SubTítulo","Código da Emenda","Nota Dotação","Ds Observação","Código Unidade Gestora","Código Programa Trabalho","Código Natureza Despesa","Vl Solicitado"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","REALIZAÇÃO DE EVENTOS-APOIO A REALIZAÇÃO DA VIA SACRA AO VIVO DE PLANALTINA-REGIÃO VI - PLANALTINA","463","284 ","","230101","13 .392.6219.3678.0005","335041","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","REALIZAÇÃO DE EVENTOS-APOIO À REALIZAÇÃO DA PAIXÃO DO CRISTO NEGRO-DISTRITO FEDERAL","465","284 ","","230101","13 .392.6219.3678.0020","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO À REALIZAÇÃO DA VIA SACRA DOS SURDOS-DISTRITO FEDERAL","540","284 ","","230101","13 .392.6219.4090.0028","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO AO PROJETO DA REVISTA TRAÇOS-DISTRITO FEDERAL                                                                                                                                                                                       ","5106","284 ","","230101","13 .392.6219.4090.0066","335041","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","25101","SECRETARIA DE ESTADO DE TRABALHO, DESENVOLVIMENTO ","APOIO A EVENTOS-APOIO A AÇÕES DE ASSISTÊNCIA E ACOMPANHAMENTO SOCIAL DO PROJETO DA REVISTA TRAÇOS-DISTRITO FEDERAL                                                                                                                                        ","1031","284 ","","250101","08 .244.6219.4090.0033","335039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","25101","SECRETARIA DE ESTADO DE TRABALHO, DESENVOLVIMENTO ","APOIO A EVENTOS-APOIO A ASSISTÊNCIA E ACOMPANHAMENTO SOCIAL DO PROJETO DA REVISTA TRAÇOS PELA ASSOCIAÇÃO TRAÇOS DE COMUNICAÇÃO E CULTURA-DISTRITO FEDERAL                                                                                                 ","1070","284 ","","250101","08 .244.6219.4090.0045","335039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","16101","SECRETARIA  DE ESTADO DE CULTURA DO DISTRITO FEDER","APOIO A EVENTOS-APOIO À REALIZAÇÃO DA VIA SACRA DOS SURDOS-DISTRITO FEDERAL","540","284 ","","340101","13 .392.6219.4090.0028","339039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","34101","SECRETARIA DE ESTADO DE ESPORTE, TURISMO E LAZER D","REALIZAÇÃO DE EVENTOS- PARA PROMOÇÃO DE LAZER EM TODO O DF-DISTRITO FEDERAL                                                                                                                                                                               ","478","284 ","","340101","27 .812.6206.3678.0013","335039","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","34101","SECRETARIA DE ESTADO DE ESPORTE, TURISMO E LAZER D","REALIZAÇÃO DE EVENTOS- PARA PROMOÇÃO DE LAZER EM TODO O DF-DISTRITO FEDERAL                                                                                                                                                                               ","478","284 ","","340101","27 .812.6206.3678.0013","335041","300000"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","34101","SECRETARIA DE ESTADO DE ESPORTE, TURISMO E LAZER D","REALIZAÇÃO DE EVENTOS- PARA PROMOÇÃO DE LAZER EM TODO O DF-DISTRITO FEDERAL                                                                                                                                                                               ","478","284 ","","340101","27 .812.6206.3678.0013","339039","300000"
